Number,Volcano Name,Country,Region,Latitude,Longitude,Elev
60803,Ibu,Indonesia,Halmahera-Indonesia,1.475,127.642,1325
60335,Ijen,Indonesia,Java,-8.058,114.242,2799
60422,Iliboleng,Indonesia,Lesser Sunda Is,-8.342,123.258,1659
60425,Iliwerung,Indonesia,Lesser Sunda Is,-8.54,123.59,1018
140506,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432
150504,Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163
80202,Iwo-Tori-shima,Japan,Ryukyu Is,27.85,128.25,217
80412,Iwo-jima,Japan,Volcano Is-Japan,24.75,141.33,161
60411,Iya,Indonesia,Lesser Sunda Is,-8.88,121.63,637
140303,Izalco,El Salvador,El Salvador,13.813,-89.633,1950
80301,Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406
170601,Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277
80410,Kaitoku Seamount,Japan,Volcano Is-Japan,26.122,141.102,-10
110111,Kanaga,United States,Aleutian Is,51.92,-177.17,1307
70202,Kanlaon,Philippines,Philippines-C,10.412,123.132,2435
60702,Karangetang [Api Siau],Indonesia,Sangihe Is-Indonesia,2.78,125.48,1784
50103,Karkar,Papua New Guinea,New Guinea-NE of,-4.649,145.964,1839
30301,Karthala,Comoros,Indian O-W,-11.75,43.38,2361
100013,Karymsky,Russia,Kamchatka,54.05,159.43,1536
110113,Kasatochi,United States,Aleutian Is,52.18,-175.5,314
50506,Kavachi,Solomon Is.,Solomon Is-SW Pacifi,-9.02,157.95,-20
60414,Kelimutu,Indonesia,Lesser Sunda Is,-8.758,121.83,1640
60328,Kelut,Indonesia,Java,-7.93,112.308,1731
60117,Kerinci,Indonesia,Sumatra,-1.814,101.264,3800
160016,Kick-'em-Jenny,Netherlands,W Indies,12.3,-61.63,-177
80206,Kikai,Japan,Ryukyu Is,30.78,130.28,717
130201,Kilauea,United States,Hawaiian Is,19.425,-155.292,1222
80209,Kirishima,Japan,Kyushu-Japan,31.93,130.87,1700
110102,Kiska,United States,Aleutian Is,52.1,177.6,1220
100026,Kliuchevskoi,Russia,Kamchatka,56.057,160.638,4835
90012,Kolokol Group,Russia,Kuril Is,46.042,150.05,1328
80502,Komaga-take,Japan,Hokkaido-Japan,42.07,140.68,1140
170308,Krafla,Iceland,Iceland-NE,65.73,-16.78,650
170209,Krakagiger,Iceland,Iceland-S,63.98,-19.7,1491
60200,Krakatau,Indonesia,Indonesia,-6.102,105.423,813
80205,Kuchinoerabu-jima,Japan,Ryukyu Is,30.43,130.22,649
80212,Kuju Group,Japan,Kyushu-Japan,33.08,131.25,1788
110206,Kupreanof,United States,Alaska Peninsula,56.02,-159.8,1895
80312,Kusatsu-Shirane,Japan,Honshu-Japan,36.62,138.55,2176
