time,id,depth,mag,nst,error
2020-07-22T07:54:00.350Z,nn00762071,10.3,1.3,12,
2020-07-22T07:48:22.930Z,nn00762070,8.2,0.9,10,
2020-07-22T07:42:13.475Z,us7000asxh,27.28,4,,7.8
2020-07-22T07:34:17.760Z,hv72055052,31.70000076,1.96000004,47,0.57
2020-07-22T07:30:42.835Z,us7000asxc,47.86,5.1,,9
2020-07-22T07:26:08.734Z,ak0209dhyf9p,18.1,3.2,,
2020-07-22T07:17:49.270Z,nn00762065,2.1,1.4,10,
2020-07-22T07:17:32.259Z,ak0209dhwjsr,11.7,4,,
2020-07-22T07:09:40.410Z,nn00762062,10.7,1.3,9,
2020-07-22T07:02:46.045Z,ak0209dhtcvc,25.5,3.7,,
2020-07-22T07:01:19.030Z,nn00762060,3.1,1.6,12,
2020-07-22T06:58:54.736Z,us7000aswj,10,4.3,,7.9
2020-07-22T06:54:19.720Z,nc73429421,0.74,0.56,10,0.27
2020-07-22T06:53:53.611Z,ak0209dhivdi,29,4.2,,
2020-07-22T06:51:41.572Z,ak0209dhif1e,13.8,2.8,,
2020-07-22T06:40:23.147Z,ak0209dhg0pj,11,3.8,,
2020-07-22T06:33:50.692Z,ak0209dhekx8,10,4.1,,
2020-07-22T06:30:03.555Z,ak0209dhdu3d,4.7,4,,
2020-07-22T06:30:01.602Z,us7000asvp,17.15,4.2,,6.9
2020-07-22T06:27:10.350Z,nn00762056,12.2,2.1,23,
2020-07-22T06:26:57.430Z,ci38602170,10.59,1.51,26,0.23
2020-07-22T06:26:09.979Z,ak0209dhczmf,44.4,3.9,,
2020-07-22T06:22:16.370Z,nc73429416,5.44,2.45,27,0.34
2020-07-22T06:20:56.119Z,ok2020ohjr,7.53,2.05,70,
2020-07-22T06:20:07.999Z,us7000aswr,26.21,5.7,,5.6
2020-07-22T06:16:18.657Z,us7000asx4,17.67,6.1,,5.4
2020-07-22T06:12:44.593Z,us7000asvb,28,7.8,,2.3
2020-07-22T06:08:07.860Z,nn00762043,11.1,1.8,17,
2020-07-22T06:02:43.574Z,ak0209dh7x3s,76.5,2.1,,
2020-07-22T05:52:34.330Z,ci38602154,5.34,1.54,57,0.19
2020-07-22T05:41:41.350Z,ok2020ohik,8.69,1.54,85,
2020-07-22T05:39:03.880Z,nc73429391,3.17,1.23,31,0.2
2020-07-22T05:38:08.130Z,nc73429386,8.36,1.37,9,0.76
2020-07-22T05:34:37.009Z,ok2020ohid,9,0.63,20,
2020-07-22T05:34:29.921Z,ak0209dgtbe6,0,1.6,,
2020-07-22T05:33:42.450Z,nn00762041,7.1,0.6,10,
2020-07-22T05:31:45.661Z,ak0209dgsp9y,19,1.8,,
2020-07-22T05:31:09.470Z,nc73429381,0.79,0.56,10,0.28
2020-07-22T05:27:49.629Z,ak0209dgrv1y,12.8,1.6,,
2020-07-22T05:27:28.460Z,ok2020ohhx,6.65,0.66,22,
2020-07-22T05:26:25.030Z,hv72054867,33.83000183,1.78,45,0.6
2020-07-22T05:14:53.800Z,nn00762039,9.2,2.4,23,
2020-07-22T05:14:21.960Z,nc73429371,1.7,1.08,25,0.2
2020-07-22T05:14:06.120Z,nc73429366,1.83,1.49,29,0.17
2020-07-22T05:09:40.040Z,hv72054852,-0.07,1.83,41,0.42
2020-07-22T05:09:37.960Z,nn00762036,4.9,0.7,10,
2020-07-22T05:09:00.140Z,nn00762034,38.1,0.7,12,
2020-07-22T05:05:53.240Z,nc73429356,2.1,2.55,39,0.22
2020-07-22T05:04:55.970Z,hv72054847,31.35000038,2.00999999,41,0.63
2020-07-22T05:01:40.680Z,nc73429351,0.73,2.17,31,0.28
2020-07-22T05:01:17.640Z,nn00762030,18.2,1.5,13,
2020-07-22T05:01:13.070Z,nn00762032,1.9,0.5,10,
2020-07-22T05:00:13.326Z,ak0209dglzqz,10.3,1.7,,
2020-07-22T04:57:09.030Z,nc73429346,4.83,3.3,77,0.14
2020-07-22T04:44:59.240Z,ak0209dga38k,18.8,1.1,,
2020-07-22T04:34:24.718Z,ak0209dg7vev,38.4,1.3,,
2020-07-22T04:33:49.580Z,nn00762027,2.3,0.6,11,
2020-07-22T04:30:19.940Z,nn00762024,5.5,2.2,19,
2020-07-22T04:24:05.129Z,ak0209dg5oqn,35.7,2.1,,
2020-07-22T04:18:37.290Z,nn00762023,0.2,1.4,12,
2020-07-22T04:15:49.260Z,nn00762020,26,1.6,10,
2020-07-22T03:54:52.650Z,nn00762018,1.5,1.2,9,
2020-07-22T03:53:29.300Z,nc73429326,2.39,0.77,24,0.22
2020-07-22T03:51:33.220Z,nc73429321,2.39,1.5,12,0.33
2020-07-22T03:43:38.050Z,nn00762016,2.6,1,14,
2020-07-22T03:36:26.450Z,nn00762014,12.8,0.5,12,
2020-07-22T03:33:25.000Z,nn00762011,2.3,1.1,13,
2020-07-22T03:30:21.660Z,nc73429311,3.7,1.17,11,0.46
2020-07-22T03:24:35.100Z,ok2020ohdw,8.53,1.41,91,
2020-07-22T03:22:42.300Z,hv72054752,37.04999924,1.82,47,0.69
2020-07-22T03:20:41.940Z,ci38602058,2.5,1.7,44,0.27
2020-07-22T03:20:14.310Z,nc73429301,-0.81,0.56,6,1.57
2020-07-22T03:19:47.650Z,nn00762007,6,0.9,10,
2020-07-22T03:17:35.460Z,nc73429296,2.14,0.56,8,1.01
2020-07-22T03:16:35.387Z,us7000assn,89.3,5.1,,7.9
2020-07-22T03:14:36.950Z,nn00762005,5.2,1.3,10,
2020-07-22T03:13:50.538Z,ak0209dfhzrn,47.2,2.2,,
2020-07-22T03:13:27.180Z,nc73429291,1.74,1.3,25,0.2
2020-07-22T03:11:17.410Z,nn00762002,11.1,1.5,19,
2020-07-22T03:08:10.640Z,nc73429281,2.85,1.06,21,0.27
2020-07-22T03:07:58.120Z,nn00762000,6.4,1.8,19,
2020-07-22T03:00:17.039Z,ak0209dff4vb,1.2,1.9,,
2020-07-22T02:59:22.240Z,ci38602050,5.53,1.75,38,0.41
2020-07-22T02:56:05.810Z,nn00761998,12.2,1.3,10,
2020-07-22T02:50:57.350Z,nc73429271,0.86,2.89,36,6.45
2020-07-22T02:47:54.160Z,uu60402957,-2.64,1.83,17,0.56
2020-07-22T02:34:49.570Z,nn00761997,0.7,0.5,10,
2020-07-22T02:20:34.050Z,nn00761996,8.5,1.2,9,
2020-07-22T02:19:26.200Z,nn00761992,13.4,1.7,23,
2020-07-22T02:17:20.260Z,nn00761990,5.1,1.3,10,
2020-07-22T02:10:43.938Z,ak0209devwfx,65.4,1.9,,
2020-07-22T02:08:05.160Z,nn00761989,13,0.9,10,
2020-07-22T02:05:25.080Z,ci38601986,10.78,1.29,17,0.33
2020-07-22T02:02:33.430Z,nn00761987,9,1,13,
2020-07-22T02:02:30.737Z,us7000ass7,91.78,4.2,,11.4
2020-07-22T02:01:58.070Z,ci38601978,3.22,1.48,23,0.28
2020-07-22T02:00:29.610Z,nn00761985,0.8,1.6,18,
2020-07-22T01:52:55.814Z,ak0209dejhy1,105.5,1.3,,
2020-07-22T01:39:01.570Z,ci38601954,5.93,1.46,10,0.69
2020-07-22T01:38:51.030Z,uu60402952,6.04,1.28,12,1.07
2020-07-22T01:22:08.830Z,nn00761980,0.1,1.1,11,
2020-07-22T01:21:58.020Z,nc73429246,3.88,0.32,9,0.62
2020-07-22T01:20:58.381Z,us7000ass6,110,3.7,,9.2
2020-07-22T01:12:56.730Z,ci38601930,6.71,1.36,20,0.24
2020-07-22T01:10:47.235Z,us7000asri,10,2.6,,2.1
2020-07-22T01:02:01.488Z,ak0209de8nw4,7.3,0.7,,
2020-07-22T00:56:49.123Z,ak0209ddywmo,29.9,1,,
2020-07-22T00:55:22.830Z,nn00761975,4,1.5,18,
2020-07-22T00:54:37.150Z,nn00761974,5.1,1,12,
2020-07-22T00:47:46.400Z,nc73429231,2.25,0.56,13,0.32
2020-07-22T00:46:53.900Z,nc73429226,0.92,2.45,36,0.26
2020-07-22T00:35:54.200Z,ok2020ogyh,6.63,1.73,72,
2020-07-22T00:30:13.220Z,uu60402947,-2.16,1.68,8,1.28
2020-07-22T00:29:45.270Z,av91000013,8.21,-0.33,6,0.47
2020-07-22T00:29:11.930Z,nn00761970,4.3,1.7,14,
2020-07-22T00:25:44.630Z,nc73429216,3.62,0.36,10,0.51
2020-07-22T00:22:10.520Z,nn00761968,8.4,1.1,13,
2020-07-22T00:19:50.860Z,ci38601874,19.9,0.93,12,0.79
2020-07-22T00:18:15.910Z,nc73429211,0,0.96,41,0.11
2020-07-22T00:07:15.860Z,ak0209ddo7el,55.5,1,,
2020-07-22T00:06:17.430Z,av91000023,5.17,-0.84,5,0.59
2020-07-22T00:03:33.800Z,nc73429206,1.92,1.37,49,0.13
2020-07-22T00:02:40.990Z,av91000018,6.25,-0.77,5,0.63
